datetime,open,high,low,close,volume
2025-01-31 15:00:00,104505.3,104800,104000.1,104185.8,349732845.62097
2025-01-31 16:00:00,104185.9,104327.2,104010.6,104012.1,229694063.40447
2025-01-31 17:00:00,104012.1,104318.3,103922,104260.1,200419991.28609
2025-01-31 18:00:00,104260,104438.3,104067.4,104275.7,120966428.71741
2025-01-31 19:00:00,104275.6,104857.8,104275.6,104724.1,276102134.16409
2025-01-31 20:00:00,104724.1,104931.3,104550,104701.4,196680241.39376
2025-01-31 21:00:00,104701.4,105031.4,104555.2,104660.8,275206168.77885
2025-01-31 22:00:00,104660.7,104876,104104,104471.1,377412240.90702
2025-01-31 23:00:00,104471.2,106047,104454.1,105460.2,934023831.3592
2025-02-01 00:00:00,105460.2,105597.4,104686.3,105091.8,463726740.71615
2025-02-01 01:00:00,105091.9,105093.8,104500.1,104590.1,249456620.71234
2025-02-01 02:00:00,104590.2,104828.5,102580.3,102634,1057611133.85617
2025-02-01 03:00:00,102634,103034.1,102122.7,102300.2,717888880.53675
2025-02-01 04:00:00,102300.2,102327.3,101561.1,101674.9,634044151.45794
2025-02-01 05:00:00,101674.8,102141.5,101500,102126,341545988.16428
2025-02-01 06:00:00,102126,102470,101908,102256.5,202305149.68067
2025-02-01 07:00:00,102256.4,102439.7,101939.9,102433.5,129281021.65941
2025-02-01 08:00:00,102433.5,102583.2,102200,102490.1,139845580.29976
2025-02-01 09:00:00,102490.2,102777.4,102465.2,102567.8,134054984.82023
2025-02-01 10:00:00,102567.9,102791.8,102369.8,102447.9,130548469.187
2025-02-01 11:00:00,102447.8,102518.6,102165.1,102243.3,115823928.30244
2025-02-01 12:00:00,102243.3,102490,102112,102311.8,151455362.32372
2025-02-01 13:00:00,102311.9,102600,102198,102488.8,92452080.5365
2025-02-01 14:00:00,102488.7,102571.9,102157.7,102406.3,79308843.1531
2025-02-01 15:00:00,102406.4,102500.1,102165.2,102175.4,87702596.60327
2025-02-01 16:00:00,102175.4,102295,101828.5,102024,205607811.57329
2025-02-01 17:00:00,102023.9,102024,101368,101680,296082479.8415
2025-02-01 18:00:00,101680,101982,101627,101643.9,189692010.64417
2025-02-01 19:00:00,101643.9,102064,101643.8,102029.1,121288805.73204
2025-02-01 20:00:00,102029.1,102328.3,102000.1,102276,192351246.29915
2025-02-01 21:00:00,102276,102290,101815.4,101875.6,151134546.81448
2025-02-01 22:00:00,101875.7,102184.2,101816,101818.2,136070624.33366
2025-02-01 23:00:00,101818.3,102200,101724.4,102080.1,177141448.49666
2025-02-02 00:00:00,102080.1,102236.8,101861.3,101889.6,144749149.79701
2025-02-02 01:00:00,101889.6,102282.2,101889.6,102254.9,112840149.68909
2025-02-02 02:00:00,102255,102276.2,101967.1,102000,65691143.50693
2025-02-02 03:00:00,102000,102030.6,101435,101673.4,189278775.38367
2025-02-02 04:00:00,101673.5,101673.5,100911.1,101328.2,400016021.51181
2025-02-02 05:00:00,101328.2,101576.3,100978.2,101190,173493353.09887
2025-02-02 06:00:00,101189.9,101425,100500,100650.5,339880178.12735
2025-02-02 07:00:00,100650.5,100866.6,100254.1,100633.9,277179239.28389
2025-02-02 08:00:00,100633.9,101289,100464.1,101241.9,218688304.04923
2025-02-02 09:00:00,101241.9,101477,101158.3,101249.9,110931591.33216
2025-02-02 10:00:00,101250,101275.8,100422,100450.1,212865586.50123
2025-02-02 11:00:00,100450,100766,99143.1,99208.1,773062462.4924
2025-02-02 12:00:00,99208.1,99869.7,99031.8,99533.9,367965832.08343
2025-02-02 13:00:00,99533.9,100341.7,99484.7,100245,250215787.08309
2025-02-02 14:00:00,100245,100500,100085.9,100264.9,200566417.13739
2025-02-02 15:00:00,100265,100272.5,99600,99625.2,232352294.08298
2025-02-02 16:00:00,99625.3,100118.3,99321.3,99824.1,282094021.58536
2025-02-02 17:00:00,99824.1,99865.6,99322.5,99682.9,216901293.18001
2025-02-02 18:00:00,99683,99688,99228,99412.9,180464575.84618
2025-02-02 19:00:00,99413.5,99588.5,98612.9,98872.1,522149595.00821
2025-02-02 20:00:00,98872.1,99166,98155.2,98182.8,503365385.88301
2025-02-02 21:00:00,98182.9,98848,98164,98813.9,348590500.37638
2025-02-02 22:00:00,98814,99433,98715.2,99205.9,358677300.81575
2025-02-02 23:00:00,99205.9,99414,98700.1,99343.1,250516063.20268
2025-02-03 00:00:00,99343,99364,98066.8,98267.6,471588835.028
2025-02-03 01:00:00,98267.6,98588.2,97023.5,97250.5,1010093907.17697
2025-02-03 02:00:00,97251.6,97947.4,96827.7,97102,795431337.93143
2025-02-03 03:00:00,97102.1,98726.5,96852.1,98269.9,626739890.20265
2025-02-03 04:00:00,98269.9,98656.2,97636,97804.2,283669134.9183
2025-02-03 05:00:00,97804.2,97985.4,96554.1,97029.9,454812127.55415
2025-02-03 06:00:00,97030,98054.4,96130.5,98011.5,645317865.16427
2025-02-03 07:00:00,98011.4,98011.5,96550,97701.9,648947689.02589
2025-02-03 08:00:00,97702,97786.8,95403,96504.2,1391959490.48342
2025-02-03 09:00:00,96504.3,96939.8,91922,93454.5,3067170238.03303
2025-02-03 10:00:00,93454.7,94978.4,91255,93566.1,2264337689.83192
2025-02-03 11:00:00,93566.1,94696.5,93413.4,94048,581858060.14252
2025-02-03 12:00:00,94048.1,94499.8,92640.1,92787.3,624212164.19908
2025-02-03 13:00:00,92787.4,94278.2,92754,94206,498630265.44755
2025-02-03 14:00:00,94206,94605.7,93617.6,93901.2,438728535.53446
2025-02-03 15:00:00,93901.2,95400,93826.7,95305,439609877.00825
2025-02-03 16:00:00,95305.1,95609.7,94827.1,95320.1,445446445.37192
2025-02-03 17:00:00,95320,95943.9,95220.5,95272.1,487209797.01064
2025-02-03 18:00:00,95272.2,95731.2,94764.5,95710.2,357354573.54253
2025-02-03 19:00:00,95710.3,95710.6,94943.6,95109.9,214254625.10387
2025-02-03 20:00:00,95110,95621.6,94765.9,94770.1,310125149.39122
2025-02-03 21:00:00,94770.1,95388,94368,94664.8,387256007.28972
2025-02-03 22:00:00,94664.7,96710,94151.3,96587.6,1359901329.03464
2025-02-03 23:00:00,96587.6,99499.8,96181.1,98838.8,1804957205.09096
2025-02-04 00:00:00,98838.9,99046.7,98138.3,98540,720034251.20727
2025-02-04 01:00:00,98540,99331.8,98030.7,99182.3,600543320.22078
2025-02-04 02:00:00,99184.9,99941.7,98937.5,99811.4,550544470.17672
2025-02-04 03:00:00,99811.5,101915.5,99594.9,101915,1423630128.01387
2025-02-04 04:00:00,101915,101966,101010.6,101102,694176143.59152
2025-02-04 05:00:00,101101.9,101985.4,100939.4,101810.4,428419102.38215
2025-02-04 06:00:00,101812.5,102551,101485.2,101703.9,356419210.12286
2025-02-04 07:00:00,101704,101847,101266.7,101358.2,203292224.33884
2025-02-04 08:00:00,101358.3,101680,101055.8,101077.9,208046027.73572
2025-02-04 09:00:00,101077.9,101754.4,100759.3,101395.1,282029064.53786
2025-02-04 10:00:00,101395.1,101449.3,100818.9,100854.1,150063153.08966
2025-02-04 11:00:00,100854,101048,100567,100640.4,159513087.55044
2025-02-04 12:00:00,100640.4,100786.2,100028.2,100075,293794859.8448
2025-02-04 13:00:00,100074.9,100119.5,98250,98872.5,1151281712.53929
2025-02-04 14:00:00,98872.5,99648.3,98827.7,99373.9,410918237.4471
2025-02-04 15:00:00,99374,99484.5,98321.1,98451.6,303518687.37572
2025-02-04 16:00:00,98451.5,98726.3,97850,98300.1,443590383.17629
2025-02-04 17:00:00,98300,98829.5,98262.1,98339.3,231458437.35665
2025-02-04 18:00:00,98339.2,98985,98332.3,98776.9,209748389.01197
2025-02-04 19:00:00,98776.9,99417,98739.3,98961.4,322048938.69996
2025-02-04 20:00:00,98961.4,99813.5,98961.4,99362,357184904.53373
2025-02-04 21:00:00,99362,99550,98962,99013.5,290209648.63469
2025-02-04 22:00:00,99013.5,100446.9,98568.7,99983.5,911063869.79599
2025-02-04 23:00:00,99983.4,100232.7,98255,99351.8,1004542351.0835
2025-02-05 00:00:00,99351.8,99970,99032.8,99062.3,326745255.79574
2025-02-05 01:00:00,99062.3,99628.4,98828.4,99181.6,255866709.01202
2025-02-05 02:00:00,99181.5,99588.8,98768,99415.1,144995513.34071
2025-02-05 03:00:00,99415,100799,98794.7,98863.5,743916267.67145
2025-02-05 04:00:00,98862.7,99450,97962,98636,818791586.98662
2025-02-05 05:00:00,98636.1,98661.8,96424.6,96510,829490393.6056
2025-02-05 06:00:00,96509.9,97957.9,96129,97689.9,510642097.50911
2025-02-05 07:00:00,97689.9,98210.7,97476,97759.9,264364487.46727
2025-02-05 08:00:00,97760,98399.9,97695.6,98256.3,217910454.55375
2025-02-05 09:00:00,98256.2,98954.1,97680,97842.9,400112339.66184
2025-02-05 10:00:00,97842.9,98231,97148.4,98000,447521846.55056
2025-02-05 11:00:00,98000,98327,97768,98045.4,154375129.93158
2025-02-05 12:00:00,98045.4,98344.6,97896.8,98049.9,111460170.6241
2025-02-05 13:00:00,98050,98333.1,97703.2,98150.5,178659232.93224
2025-02-05 14:00:00,98150.5,98240,97543.2,97674.6,192944856.77311
2025-02-05 15:00:00,97675.6,97986,97368.5,97863.3,222597268.56552
2025-02-05 16:00:00,97863.3,98047.9,97572.1,97638.1,151005098.99456
2025-02-05 17:00:00,97638,97969.9,97260.5,97416.2,198369833.02048
2025-02-05 18:00:00,97416.1,98040.3,97380,97739.9,180960430.98321
2025-02-05 19:00:00,97739.9,98224.4,97704.4,98205.7,204342105.19343
2025-02-05 20:00:00,98205.7,98728.5,98001,98064,344694122.06565
2025-02-05 21:00:00,98064,98691,97960,98569,211045476.62686
2025-02-05 22:00:00,98568.9,99183.5,98110.7,98301.5,434992684.49753
2025-02-05 23:00:00,98301.6,98574.3,97760,98122,435832725.09326
2025-02-06 00:00:00,98122,98300,97325,97978.1,407369852.43803
2025-02-06 01:00:00,97980,98260.1,97340.6,97556.1,249183121.15617
2025-02-06 02:00:00,97556,97717.6,96508,96719.9,381887779.01819
2025-02-06 03:00:00,96719.9,97522,96485.4,97387.8,235120673.78236
2025-02-06 04:00:00,97387.8,97716.9,96876.1,97310.1,222810072.37445
2025-02-06 05:00:00,97310.1,97554.7,96745.3,96924.6,172168517.30748
2025-02-06 06:00:00,96925.1,97066.6,96264.1,96461.4,199618451.97694
2025-02-06 07:00:00,96461.5,96875.9,96138.5,96618.3,225886094.27412
2025-02-06 08:00:00,96618.3,96988.9,96422.1,96817.3,200142181.996
2025-02-06 09:00:00,96817.4,97253.1,96628,97161.4,199521735.93892
2025-02-06 10:00:00,97161.3,97466.7,97094.4,97369.6,112007361.26106
2025-02-06 11:00:00,97369.6,97500,97068.5,97356.2,142505264.41413
2025-02-06 12:00:00,97356.2,97855,97281.5,97624.8,184561299.17286
2025-02-06 13:00:00,97624.9,97899.6,97600.6,97833.2,103052041.76437
2025-02-06 14:00:00,97833.2,98464,97711.3,98387.5,273376457.94597
2025-02-06 15:00:00,98387.5,98387.6,98029,98219.9,165512244.4008
2025-02-06 16:00:00,98219.9,98358.8,97925.2,98132.7,147963977.96932
2025-02-06 17:00:00,98132.8,98730,98107.3,98609.6,286223592.08159
2025-02-06 18:00:00,98609.5,99088.1,98608.8,99021.1,263883551.19668
2025-02-06 19:00:00,99021,99146,98389,98863.9,367635835.37416
2025-02-06 20:00:00,98863.9,99043.8,98279,98359.1,257416616.75414
2025-02-06 21:00:00,98359.2,98800,98175,98618.2,344408060.54714
2025-02-06 22:00:00,98618.1,98920.5,97793.6,97842.9,672326051.53695
2025-02-06 23:00:00,97842.9,98068,96926,97334,678517095.95896
2025-02-07 00:00:00,97334,97545.5,96369.9,96582.4,578132943.95056
2025-02-07 01:00:00,96582.6,97200,96379,96710.9,395703293.20818
2025-02-07 02:00:00,96710.9,96860.5,95872.1,96315,508268622.67167
2025-02-07 03:00:00,96314.9,96939,95669.8,95991.4,443645108.52588
2025-02-07 04:00:00,95991.4,97099.5,95781.1,96929.2,311983262.46541
2025-02-07 05:00:00,96929.1,96952.9,96102.4,96818.8,228540645.14785
2025-02-07 06:00:00,96818.8,96955.7,96159.3,96955.7,160693095.92444
2025-02-07 07:00:00,96955.8,96967.6,96190.9,96555.9,183850209.62727
2025-02-07 08:00:00,96555.9,96942.7,96408.9,96508.8,206171684.93621
